UserInput,Tags
"I want something cold to drink","cold"
"recommend me salty and spicy to eat","spicy,salty"
"I'm craving something sweet","sweet"
"Give me a snack with strawberry","strawberry"
"Can I have something hot and spicy?","hot,spicy"
"I'd like a not alcoholic and energetic drink","non-alcoholic,energetic"
"Suggest me something with chocolate to taste","chocolate"
"I feel like eating something salty and for vegan","salty,vegan"
"Anything cold and sweet available?","cold,sweet"
"Looking for a alcoholic and hot beverage","alcoholic,hot"